Show,Week 2,Week 7,Week 10,Week 8,Week 6,Week 5,Week 9
Aboli,,,,2.0,,,
Devmanus S2,3.0,,2.0,3.0,,,
Majhi Tujhi Reshimgath,,,,,2.0,,
Man Jhala Bajind,,,4.0,4.0,,,
Man Udu Udu Jhala,1.0,3.0,,,,,
Masta Majedar Kitchen Kallakar,4.0,,,,,,
Mulgi Zali Ho,,,,,3.0,,
Phulala Sugandh Maticha,,,,,1.0,,2.0
Pinkycha Vijay Aso,,,3.0,,,,
Rang Majha Vegla,,,,1.0,,,
Sahakutumba Sahaparivar,2.0,,1.0,,,,
Sukh Mhanje Nakki Kay Asta,,,,,,,1.0
Swabhimaan,,2.0,,,,,
Thipkyanchi Rangoli,,1.0,,,,1.0,
Tujhya Majhya Sansarala Ani Kai Hava,5.0,4.0,5.0,5.0,4.0,,
