Show,Week 2,Week 7,Week 16,Week 23,Week 10,Week 24,Week 8,Week 6,Week 5,Week 12,Week 9,Week 13,Week 15,Week 14,Week 19,Week 20,Week 21
Aai Kuthe Kay Karte,,,,,,,,,,20:00,,,,,,,
Aai Mayeche Kavach,,,19:00,,,,,,,,,,,,,21:00,
Aboli,,,,,,,19:00,,,,,20:00,,,,,
Balumamachya Navana Changbhala,,,,,,,,,,,,,19:00,,20:00,,
Bhagya Dile Tu Mala,,,,,,,,,,,,,,,,,21:00
Devmanus S2,22:00,,22:00,20:00,22:00,,22:00,,,,,,,,,,
Gatha Navanathanchi,,,19:00,,,,,,,,,,,,,,
Jai Jai Swami Samarth,,,,,,,,,,19:00,,,,20:00,,20:00,
Jeev Majha Guntala,,,,,,,,,,,,,20:00,,,,20:00
Lagnachi Bedi,,,,,,,,,,,,19:00,,,,,
Lek Majhi Durga,,,,,,,,,,20:00,,,,19:00,,22:00,
Mahaminister,,,18:00,18:00,,,,,,,,,,,,,
Majhi Tujhi Reshimgath,,,,,,,,20:00,,19:00,,,,,,,
Man Jhala Bajind,,,,,20:00,,20:00,,,,,,19:00,,,,
Man Udu Udu Jhala,19:00,20:00,19:00,19:00,,,,,,,,,,,,,
Masta Majedar Kitchen Kallakar,21:00,,,,,,,,,,,,,,,,
Mulgi Zali Ho,,,,,,,,19:00,,,,,,,,,
Phulala Sugandh Maticha,,,,,,,,20:00,,,19:00,,,,,,
Pinkycha Vijay Aso,,,,,19:00,,,,,,,,,,,,
Raja Ranichi Ga Jodi,,,20:00,,,,,,,,,,,,19:00,,
Rang Majha Vegla,,,,,,,20:00,,,,,,,,,,
Sahakutumba Sahaparivar,20:00,,,,20:00,19:00,,,,,,,,,,,
Satyavan Savitri,,,,,,19:00,,,,,,,,,,,
Sukh Mhanje Nakki Kay Asta,,,,,,20:00,,,,,20:00,,,,,,
Sundara Manamadhye Bharali,,,21:00,,,,,,,21:00,,,,21:00,21:00,,
Swabhimaan,,19:00,,,,,,,,,,,,,,,
Swarajya Saudamini Tararani,,,20:00,,,,,,,,,,,,,,
Thipkyanchi Rangoli,,20:00,,,,,,,20:00,19:00,,,,,,,
Tu Tevha Tashi,,,20:00,,,,,,,20:00,,,20:00,,,,
Tujhya Majhya Sansarala Ani Kai Hava,20:00,21:00,21:00,,21:00,,21:00,21:00,,,,,,,,,
Tujhya Rupacha Chandana,,,,,,,,,,,,,21:00,,,,19:00
