Show,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14
Aai Kuthe Kay Karte,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
Aai Mayeche Kavach,20.0,,21.0,22.0,20.0,23.0,19.0,21.0,,,,,,22.0
Aboli,13.0,12.0,15.0,14.0,13.0,13.0,12.0,12.0,11.0,11.0,11.0,10.0,10.0,10.0
Ajunahi Barsaat Ahe,,,20.0,,,,,24.0,,23.0,,,,
Balumamachya Navana Changbhala,25.0,,22.0,23.0,24.0,25.0,,,,,,,,23.0
Balumamachya Navana Changbhala - II,,,,,,,24.0,26.0,,,,,,
Band Baja Varat,,,,,,,,,,,22.0,,,25.0
Bhagya Dile Tu Mala,,,,,,,,,,,,,,21.0
Boss Majhi Ladachi,,,,,,,,,19.0,22.0,,,22.0,25.0
Chala Hawa Yeu Dya,16.0,15.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,15.0,13.0
Colors Marathi Awards 2021-22,,,,,,,,,,,,,13.0,
Criminals Chahul Gunhegaranchi,,,26.0,,,,,,,,,,,
Devmanus S2,10.0,10.0,13.0,11.0,11.0,11.0,10.0,11.0,12.0,12.0,14.0,12.0,14.0,15.0
Filmfare Awards Marathi 2021,,,,,,,,,,,,,,24.0
Garjato Marathi,,,,,,,,,21.0,,,,,
Ghetala Vasa Taku Nako,26.0,20.0,24.0,24.0,26.0,27.0,24.0,25.0,25.0,,25.0,,,26.0
He Tar Kahich Nay,23.0,19.0,22.0,22.0,24.0,25.0,22.0,24.0,24.0,,,,,
Home Minister,25.0,19.0,21.0,22.0,23.0,24.0,22.0,23.0,23.0,,23.0,,,26.0
Indian Idol Marathi S1,,,21.0,,,26.0,,25.0,,,,,,
Jai Jai Swami Samarth,22.0,,23.0,22.0,21.0,22.0,20.0,22.0,,,,,,20.0
Jeev Majha Guntala,18.0,,17.0,18.0,16.0,16.0,14.0,17.0,16.0,16.0,16.0,,16.0,17.0
Kkusum,,,20.0,,,,,23.0,,,,,,
Lagnachi Bedi,,,,,22.0,21.0,19.0,19.0,20.0,20.0,17.0,,16.0,13.0
Lek Majhi Durga,,,,,,,,,,,,,,26.0
Lek Majhi Durga - I,,,,,,,21.0,23.0,,,,,,
Maharashtracha Favorite Kon Suvarnadashak Sohala,,,15.0,,,,,,,,,,,
Maharashtrachi Hasyajatra,,,19.0,,,,,,,21.0,,,20.0,25.0
Majhi Tujhi Reshimgath,7.0,5.0,6.0,7.0,6.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
Man Jhala Bajind,15.0,14.0,16.0,16.0,17.0,17.0,16.0,16.0,17.0,17.0,18.0,,18.0,19.0
Man Udu Udu Jhala,12.0,11.0,11.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,11.0,12.0,11.0
Masaledar Kitchen Kallakar,,,,,,,,,,,13.0,13.0,14.0,16.0
Masta Majedar Kitchen Kallakar,14.0,13.0,14.0,14.0,14.0,14.0,13.0,14.0,14.0,14.0,,,,
Me Honar Superstar Chote Ustad,21.0,17.0,19.0,20.0,21.0,21.0,18.0,19.0,20.0,19.0,18.0,15.0,,9.0
Mulgi Zali Ho,5.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,6.0,6.0,6.0,5.0,8.0
Muramba,,,,,,,19.0,20.0,21.0,21.0,21.0,,21.0,18.0
Nave Lakshya,24.0,19.0,23.0,22.0,23.0,24.0,20.0,23.0,22.0,,,,,14.0
Pandu,,,,,10.0,,,,,,,,,
Phulala Sugandh Maticha,6.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0
Pinkycha Vijay Aso,,,,,19.0,20.0,18.0,21.0,18.0,,20.0,,18.0,18.0
Pravah Utsav,,,,13.0,,,,,,,,,,
Raja Ranichi Ga Jodi,22.0,,20.0,22.0,20.0,21.0,20.0,22.0,,,,,21.0,21.0
Rang Majha Vegla,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
Ratris Khel Chale S3,24.0,20.0,24.0,24.0,26.0,26.0,23.0,25.0,24.0,,24.0,,,24.0
Sahakutumba Sahaparivar,11.0,9.0,9.0,9.0,7.0,8.0,7.0,8.0,9.0,8.0,9.0,10.0,8.0,5.0
